areaCode,areaName,areaType,date,cumDeaths28DaysByDeathDate
E06000023,"Bristol, City of",ltla,19/12/2020,254
E06000023,"Bristol, City of",ltla,18/12/2020,254
E06000023,"Bristol, City of",ltla,17/12/2020,251
E06000023,"Bristol, City of",ltla,16/12/2020,250
E06000023,"Bristol, City of",ltla,15/12/2020,248
E06000023,"Bristol, City of",ltla,14/12/2020,244
E06000023,"Bristol, City of",ltla,13/12/2020,242
E06000023,"Bristol, City of",ltla,12/12/2020,241
E06000023,"Bristol, City of",ltla,11/12/2020,241
E06000023,"Bristol, City of",ltla,10/12/2020,240
E06000023,"Bristol, City of",ltla,09/12/2020,239
E06000023,"Bristol, City of",ltla,08/12/2020,238
E06000023,"Bristol, City of",ltla,07/12/2020,236
E06000023,"Bristol, City of",ltla,06/12/2020,233
E06000023,"Bristol, City of",ltla,05/12/2020,232
E06000023,"Bristol, City of",ltla,04/12/2020,231
E06000023,"Bristol, City of",ltla,03/12/2020,229
E06000023,"Bristol, City of",ltla,02/12/2020,227
E06000023,"Bristol, City of",ltla,01/12/2020,227
E06000023,"Bristol, City of",ltla,30/11/2020,225
E06000023,"Bristol, City of",ltla,29/11/2020,222
E06000023,"Bristol, City of",ltla,28/11/2020,219
E06000023,"Bristol, City of",ltla,27/11/2020,216
E06000023,"Bristol, City of",ltla,26/11/2020,213
E06000023,"Bristol, City of",ltla,25/11/2020,212
E06000023,"Bristol, City of",ltla,24/11/2020,206
E06000023,"Bristol, City of",ltla,23/11/2020,203
E06000023,"Bristol, City of",ltla,22/11/2020,200
E06000023,"Bristol, City of",ltla,21/11/2020,195
E06000023,"Bristol, City of",ltla,20/11/2020,190
E06000023,"Bristol, City of",ltla,19/11/2020,189
E06000023,"Bristol, City of",ltla,18/11/2020,187
E06000023,"Bristol, City of",ltla,17/11/2020,186
E06000023,"Bristol, City of",ltla,16/11/2020,184
E06000023,"Bristol, City of",ltla,15/11/2020,183
E06000023,"Bristol, City of",ltla,14/11/2020,182
E06000023,"Bristol, City of",ltla,13/11/2020,181
E06000023,"Bristol, City of",ltla,12/11/2020,180
E06000023,"Bristol, City of",ltla,11/11/2020,176
E06000023,"Bristol, City of",ltla,10/11/2020,175
E06000023,"Bristol, City of",ltla,09/11/2020,173
E06000023,"Bristol, City of",ltla,08/11/2020,170
E06000023,"Bristol, City of",ltla,07/11/2020,169
E06000023,"Bristol, City of",ltla,06/11/2020,169
E06000023,"Bristol, City of",ltla,05/11/2020,169
E06000023,"Bristol, City of",ltla,04/11/2020,166
E06000023,"Bristol, City of",ltla,03/11/2020,164
E06000023,"Bristol, City of",ltla,02/11/2020,163
E06000023,"Bristol, City of",ltla,01/11/2020,163
E06000023,"Bristol, City of",ltla,31/10/2020,161
E06000023,"Bristol, City of",ltla,30/10/2020,158
E06000023,"Bristol, City of",ltla,29/10/2020,158
E06000023,"Bristol, City of",ltla,28/10/2020,156
E06000023,"Bristol, City of",ltla,27/10/2020,155
E06000023,"Bristol, City of",ltla,26/10/2020,154
E06000023,"Bristol, City of",ltla,25/10/2020,154
E06000023,"Bristol, City of",ltla,24/10/2020,154
E06000023,"Bristol, City of",ltla,23/10/2020,154
E06000023,"Bristol, City of",ltla,22/10/2020,153
E06000023,"Bristol, City of",ltla,21/10/2020,152
E06000023,"Bristol, City of",ltla,20/10/2020,152
E06000023,"Bristol, City of",ltla,19/10/2020,152
E06000023,"Bristol, City of",ltla,18/10/2020,151
E06000023,"Bristol, City of",ltla,17/10/2020,151
E06000023,"Bristol, City of",ltla,16/10/2020,151
E06000023,"Bristol, City of",ltla,15/10/2020,151
E06000023,"Bristol, City of",ltla,14/10/2020,151
E06000023,"Bristol, City of",ltla,13/10/2020,151
E06000023,"Bristol, City of",ltla,12/10/2020,151
E06000023,"Bristol, City of",ltla,11/10/2020,150
E06000023,"Bristol, City of",ltla,10/10/2020,150
E06000023,"Bristol, City of",ltla,09/10/2020,149
E06000023,"Bristol, City of",ltla,08/10/2020,148
E06000023,"Bristol, City of",ltla,07/10/2020,148
E06000023,"Bristol, City of",ltla,06/10/2020,148
E06000023,"Bristol, City of",ltla,05/10/2020,148
E06000023,"Bristol, City of",ltla,04/10/2020,148
E06000023,"Bristol, City of",ltla,03/10/2020,148
E06000023,"Bristol, City of",ltla,02/10/2020,148
E06000023,"Bristol, City of",ltla,01/10/2020,148
E06000023,"Bristol, City of",ltla,30/09/2020,148
E06000023,"Bristol, City of",ltla,29/09/2020,148
E06000023,"Bristol, City of",ltla,28/09/2020,148
E06000023,"Bristol, City of",ltla,27/09/2020,148
E06000023,"Bristol, City of",ltla,26/09/2020,148
E06000023,"Bristol, City of",ltla,25/09/2020,148
E06000023,"Bristol, City of",ltla,24/09/2020,148
E06000023,"Bristol, City of",ltla,23/09/2020,146
E06000023,"Bristol, City of",ltla,22/09/2020,145
E06000023,"Bristol, City of",ltla,21/09/2020,145
E06000023,"Bristol, City of",ltla,20/09/2020,145
E06000023,"Bristol, City of",ltla,19/09/2020,145
E06000023,"Bristol, City of",ltla,18/09/2020,145
E06000023,"Bristol, City of",ltla,17/09/2020,145
E06000023,"Bristol, City of",ltla,16/09/2020,145
E06000023,"Bristol, City of",ltla,15/09/2020,145
E06000023,"Bristol, City of",ltla,14/09/2020,145
E06000023,"Bristol, City of",ltla,13/09/2020,145
E06000023,"Bristol, City of",ltla,12/09/2020,145
E06000023,"Bristol, City of",ltla,11/09/2020,145
E06000023,"Bristol, City of",ltla,10/09/2020,145
E06000023,"Bristol, City of",ltla,09/09/2020,145
E06000023,"Bristol, City of",ltla,08/09/2020,145
E06000023,"Bristol, City of",ltla,07/09/2020,145
E06000023,"Bristol, City of",ltla,06/09/2020,145
E06000023,"Bristol, City of",ltla,05/09/2020,145
E06000023,"Bristol, City of",ltla,04/09/2020,145
E06000023,"Bristol, City of",ltla,03/09/2020,145
E06000023,"Bristol, City of",ltla,02/09/2020,145
E06000023,"Bristol, City of",ltla,01/09/2020,145
E06000023,"Bristol, City of",ltla,31/08/2020,145
E06000023,"Bristol, City of",ltla,30/08/2020,145
E06000023,"Bristol, City of",ltla,29/08/2020,145
E06000023,"Bristol, City of",ltla,28/08/2020,145
E06000023,"Bristol, City of",ltla,27/08/2020,145
E06000023,"Bristol, City of",ltla,26/08/2020,145
E06000023,"Bristol, City of",ltla,25/08/2020,145
E06000023,"Bristol, City of",ltla,24/08/2020,145
E06000023,"Bristol, City of",ltla,23/08/2020,145
E06000023,"Bristol, City of",ltla,22/08/2020,145
E06000023,"Bristol, City of",ltla,21/08/2020,145
E06000023,"Bristol, City of",ltla,20/08/2020,145
E06000023,"Bristol, City of",ltla,19/08/2020,145
E06000023,"Bristol, City of",ltla,18/08/2020,145
E06000023,"Bristol, City of",ltla,17/08/2020,145
E06000023,"Bristol, City of",ltla,16/08/2020,145
E06000023,"Bristol, City of",ltla,15/08/2020,145
E06000023,"Bristol, City of",ltla,14/08/2020,145
E06000023,"Bristol, City of",ltla,13/08/2020,145
E06000023,"Bristol, City of",ltla,12/08/2020,145
E06000023,"Bristol, City of",ltla,11/08/2020,144
E06000023,"Bristol, City of",ltla,10/08/2020,144
E06000023,"Bristol, City of",ltla,09/08/2020,144
E06000023,"Bristol, City of",ltla,08/08/2020,144
E06000023,"Bristol, City of",ltla,07/08/2020,144
E06000023,"Bristol, City of",ltla,06/08/2020,144
E06000023,"Bristol, City of",ltla,05/08/2020,144
E06000023,"Bristol, City of",ltla,04/08/2020,144
E06000023,"Bristol, City of",ltla,03/08/2020,144
E06000023,"Bristol, City of",ltla,02/08/2020,144
E06000023,"Bristol, City of",ltla,01/08/2020,144
E06000023,"Bristol, City of",ltla,31/07/2020,144
E06000023,"Bristol, City of",ltla,30/07/2020,144
E06000023,"Bristol, City of",ltla,29/07/2020,144
E06000023,"Bristol, City of",ltla,28/07/2020,144
E06000023,"Bristol, City of",ltla,27/07/2020,144
E06000023,"Bristol, City of",ltla,26/07/2020,144
E06000023,"Bristol, City of",ltla,25/07/2020,144
E06000023,"Bristol, City of",ltla,24/07/2020,144
E06000023,"Bristol, City of",ltla,23/07/2020,144
E06000023,"Bristol, City of",ltla,22/07/2020,144
E06000023,"Bristol, City of",ltla,21/07/2020,144
E06000023,"Bristol, City of",ltla,20/07/2020,144
E06000023,"Bristol, City of",ltla,19/07/2020,144
E06000023,"Bristol, City of",ltla,18/07/2020,144
E06000023,"Bristol, City of",ltla,17/07/2020,144
E06000023,"Bristol, City of",ltla,16/07/2020,144
E06000023,"Bristol, City of",ltla,15/07/2020,144
E06000023,"Bristol, City of",ltla,14/07/2020,144
E06000023,"Bristol, City of",ltla,13/07/2020,144
E06000023,"Bristol, City of",ltla,12/07/2020,144
E06000023,"Bristol, City of",ltla,11/07/2020,144
E06000023,"Bristol, City of",ltla,10/07/2020,144
E06000023,"Bristol, City of",ltla,09/07/2020,144
E06000023,"Bristol, City of",ltla,08/07/2020,144
E06000023,"Bristol, City of",ltla,07/07/2020,144
E06000023,"Bristol, City of",ltla,06/07/2020,144
E06000023,"Bristol, City of",ltla,05/07/2020,144
E06000023,"Bristol, City of",ltla,04/07/2020,144
E06000023,"Bristol, City of",ltla,03/07/2020,144
E06000023,"Bristol, City of",ltla,02/07/2020,143
E06000023,"Bristol, City of",ltla,01/07/2020,143
E06000023,"Bristol, City of",ltla,30/06/2020,143
E06000023,"Bristol, City of",ltla,29/06/2020,143
